scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,630.3881258964539,262.1050591468811,0.2232607901096344,623.9671590328217,176.72431826591492,0.0008833110332489014,623.9855585098267,172.3615244626999,0.6952522993087769,636.7946557402611,248.73014163970947,0.0005539655685424805
21,631.471842288971,262.3674268722534,0.17075324058532715,623.5267958641052,177.46056723594666,0.0013298392295837402,623.753161907196,173.75882399082184,0.6560969948768616,642.9933581352234,170.7218780517578,0.0005200207233428955
22,631.3797674179077,262.12498331069946,0.30622559785842896,629.9294828176498,175.45305800437927,0.001424342393875122,626.4962610006332,174.49048686027527,0.7236154079437256,643.0513319969177,171.13721644878387,0.000940471887588501
23,632.4077110290527,262.9903678894043,0.3644333481788635,630.6395683288574,177.1803982257843,0.004196435213088989,628.195707410574,174.29457545280457,0.6221461296081543,642.41259765625,170.97021675109863,0.0005214512348175049
24,632.0380940437317,263.68093967437744,0.15387630462646484,632.2866749763489,175.0379557609558,0.0016089379787445068,633.2208952903748,174.39452362060547,0.18446701765060425,635.8982892036438,249.17604756355286,0.00034123659133911133
25,631.7286336421967,263.53889513015747,0.24654385447502136,633.0400443077087,174.5086886882782,0.0011321604251861572,637.5478032827377,175.5927677154541,0.06518509984016418,637.7914363145828,268.1430645734072,0.00039702653884887695
26,632.3443384170532,263.9883484840393,0.3084973096847534,631.5332019329071,175.7888958454132,0.0023592114448547363,631.1270627975464,174.66504979133606,0.14715996384620667,637.8053345680237,267.8455536365509,0.0007306337356567383
27,632.8396730422974,263.3913583755493,0.36804667115211487,632.7268204689026,175.16584849357605,0.0006791651248931885,632.541609287262,174.04245567321777,0.06301039457321167,637.9188587665558,267.72921028733253,0.0007779896259307861
28,632.7787685394287,263.64409923553467,0.3596145510673523,631.9202904701233,175.454425573349,0.0013545453548431396,631.2854368686676,173.8805023431778,0.2016497552394867,637.9577577114105,267.31174314022064,0.000698775053024292
29,633.9404063224792,263.00328063964844,0.38608574867248535,631.4622552394867,177.35183191299438,0.005873441696166992,630.6421082019806,174.38506650924683,0.3657393753528595,638.0578076839447,267.5372067093849,0.00043135881423950195
