scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
11,234.07731223106384,307.7985046207905,1.3113021850585938e-06,191.2446994781494,2.8981465101242065,4.76837158203125e-07,4.895316660404205,8.383398532867432,6.854534149169922e-07
12,363.34485244750977,4.695238173007965,5.960464477539062e-07,367.0236303806305,3.047207236289978,5.364418029785156e-07,4.902483940124512,8.344527244567871,5.960464477539062e-07
13,465.75088834762573,218.04440033435822,1.2516975402832031e-06,542.8701708316803,2.9020107984542847,5.960464477539062e-07,571.9570492319763,330.20748496055603,6.854534149169922e-07
14,457.43686079978943,228.14510263502598,9.834766387939453e-07,446.99862122535706,3.003748297691345,5.066394805908203e-07,4.901170313358307,8.428834438323975,6.854534149169922e-07
15,504.0043704509735,324.1340969502926,7.152557373046875e-07,287.01082849502563,2.999764084815979,5.066394805908203e-07,4.900604069232941,8.4296555519104,6.854534149169922e-07
16,457.0140869617462,228.70631450414658,1.6391277313232422e-06,287.0001029968262,3.001825988292694,5.364418029785156e-07,4.875649094581604,8.372305870056152,7.450580596923828e-07
17,539.2978047728539,4.644026160240173,6.258487701416016e-07,542.9509391784668,2.9730018377304077,5.960464477539062e-07,4.886315584182739,8.370456218719482,6.258487701416016e-07
18,409.14518642425537,212.33713373541832,2.1457672119140625e-06,302.98357367515564,2.9908251762390137,5.364418029785156e-07,4.887948572635651,8.376092433929443,7.450580596923828e-07
19,123.61590227484703,4.83341246843338,5.364418029785156e-07,335.01116251945496,3.0005205869674683,5.066394805908203e-07,4.901357710361481,8.428979873657227,6.854534149169922e-07
20,473.2879559993744,356.5684434771538,5.960464477539062e-07,319.01114797592163,3.0005298256874084,4.76837158203125e-07,4.9013566970825195,8.428986072540283,6.854534149169922e-07
21,375.69115018844604,276.4154377877712,1.519918441772461e-06,574.9588284492493,3.0434848070144653,5.364418029785156e-07,4.9013577699661255,8.428983688354492,6.854534149169922e-07
22,360.9379532337189,276.3672747910023,8.046627044677734e-07,574.9382212162018,3.013663113117218,5.364418029785156e-07,4.900920808315277,8.429278373718262,6.854534149169922e-07
23,375.13540410995483,276.57501834630966,1.0132789611816406e-06,447.01085591316223,3.0013908743858337,5.066394805908203e-07,4.900918662548065,8.42927885055542,6.854534149169922e-07
24,504.1615891456604,340.00374612561427,4.112720489501953e-06,287.02472376823425,2.9996402263641357,5.364418029785156e-07,4.90143221616745,8.428947448730469,6.854534149169922e-07
25,458.5572040081024,315.7003136575222,2.473592758178711e-06,463.6750123500824,315.78457805514336,5.960464477539062e-07,460.5934543609619,313.65289664268494,7.152557373046875e-07
26,456.7728569507599,323.3335783481598,1.7881393432617188e-06,271.0002450942993,3.0129382014274597,5.364418029785156e-07,4.90157151222229,8.428882122039795,6.854534149169922e-07
27,409.40755701065063,299.20972341299057,1.7285346984863281e-06,462.96149587631226,3.003781497478485,5.364418029785156e-07,412.21603044867516,298.394345164299,9.238719940185547e-07
28,458.4166716337204,316.1925580352545,9.834766387939453e-07,446.9563248157501,3.0070685744285583,5.364418029785156e-07,4.9016308188438416,8.428849697113037,6.258487701416016e-07
29,391.93133306503296,292.4522463083267,5.960464477539062e-07,383.00476002693176,3.013839900493622,5.364418029785156e-07,4.901655673980713,8.428845405578613,6.258487701416016e-07
30,392.1803517341614,308.0618832781911,9.834766387939453e-07,574.9588282108307,3.043485641479492,5.364418029785156e-07,4.901692986488342,8.428825855255127,6.258487701416016e-07
31,392.1794548034668,292.0713325962424,8.344650268554688e-07,270.9920828342438,3.0089274048805237,5.364418029785156e-07,4.901707410812378,8.428830623626709,6.854534149169922e-07
32,392.21885895729065,292.18020245432854,9.238719940185547e-07,574.9588279724121,3.043484330177307,5.364418029785156e-07,4.9017573595047,8.428809642791748,7.748603820800781e-07
33,635.4488069415092,6.182838439941406,5.960464477539062e-07,207.20988702774048,2.948040723800659,4.76837158203125e-07,4.901744723320007,8.42883014678955,6.854534149169922e-07
34,635.4488065838814,6.182838439941406,5.960464477539062e-07,287.0018780231476,3.0118489265441895,5.364418029785156e-07,4.901816129684448,8.428805828094482,6.854534149169922e-07
35,407.82261323928833,355.53124129772186,7.748603820800781e-07,414.9719913005829,3.0063424110412598,5.364418029785156e-07,4.901852369308472,8.428800582885742,6.854534149169922e-07
36,392.30895018577576,211.74187487363815,6.556510925292969e-06,398.75714564323425,203.3968346118927,1.9669532775878906e-06,395.5153189599514,202.1550235748291,1.9073486328125e-06
37,392.41810059547424,276.50979048013687,3.3676624298095703e-06,397.34894728660583,268.2956472039223,1.0132789611816406e-06,394.53804337978363,265.70843410491943,1.9669532775878906e-06
38,392.36581540107727,276.5968220233917,3.069639205932617e-06,397.69634783267975,268.4858555197716,1.4901161193847656e-06,394.61674320697784,265.978084564209,2.3245811462402344e-06
39,392.36213874816895,276.4590649306774,2.3245811462402344e-06,397.6747181415558,268.34221762418747,1.2516975402832031e-06,394.4827494621277,265.83021354675293,2.086162567138672e-06
40,392.4573874473572,276.36440032720566,6.139278411865234e-06,397.88476717472076,268.5022761821747,1.7881393432617188e-06,395.454601585865,265.8202340602875,3.248453140258789e-06
41,392.3677017688751,276.3039429783821,4.589557647705078e-06,397.8596040010452,268.2969410419464,9.834766387939453e-07,395.3906634449959,265.6364462375641,2.1457672119140625e-06
42,392.16718888282776,275.9613845385611,2.086162567138672e-06,318.9831745624542,3.021367132663727,5.364418029785156e-07,4.901750922203064,8.428941249847412,6.854534149169922e-07
43,392.04775953292847,276.0416525788605,1.341104507446289e-06,398.97179102897644,3.028714179992676,5.364418029785156e-07,4.901725232601166,8.428937435150146,6.854534149169922e-07
44,283.416088283062,4.776434898376465,5.364418029785156e-07,303.03853249549866,3.0285441875457764,5.364418029785156e-07,4.901553273200989,8.428967475891113,6.258487701416016e-07
45,267.42897057533264,4.774472892284393,5.364418029785156e-07,574.9588289260864,3.0434845685958862,5.364418029785156e-07,4.901458263397217,8.428997993469238,7.450580596923828e-07
46,635.4488063454628,6.182838201522827,5.960464477539062e-07,319.05372405052185,3.042887806892395,5.364418029785156e-07,4.90147465467453,8.42899227142334,6.854534149169922e-07
47,267.44042867422104,4.749709367752075,5.364418029785156e-07,430.9784450531006,3.0046591758728027,5.364418029785156e-07,4.90152108669281,8.429030895233154,6.854534149169922e-07
48,267.43618309497833,4.752856373786926,5.364418029785156e-07,271.0177352428436,2.9976449012756348,5.364418029785156e-07,4.901629745960236,8.428995132446289,6.258487701416016e-07
49,472.112197637558,372.3331012427807,6.854534149169922e-07,367.0661725997925,3.0184269547462463,5.960464477539062e-07,4.901799321174622,8.42892074584961,6.258487701416016e-07
50,315.4628428220749,4.748151481151581,5.364418029785156e-07,271.03176617622375,3.004627287387848,5.364418029785156e-07,4.901935338973999,8.428883075714111,6.854534149169922e-07
51,283.485508620739,4.716870665550232,5.960464477539062e-07,318.95620036125183,3.029485046863556,5.364418029785156e-07,4.902053475379944,8.428879261016846,6.854534149169922e-07
52,505.5069694519043,427.48176592588425,1.0728836059570312e-06,271.0316083431244,3.0012981295585632,5.364418029785156e-07,4.9020286202430725,8.428884029388428,6.854534149169922e-07
53,251.44631576538086,4.734705984592438,5.364418029785156e-07,334.98566246032715,3.029820740222931,5.364418029785156e-07,4.902098298072815,8.428864002227783,6.258487701416016e-07
54,376.3082466125488,275.89492155611515,5.662441253662109e-07,318.9687054157257,3.022714912891388,5.364418029785156e-07,4.902124345302582,8.428857326507568,6.854534149169922e-07
