scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
11,189.0745198726654,146.87102031707764,0.0010209977626800537,425.44372844696045,396.0638771504164,3.7670135498046875e-05,442.1342536211014,393.9127514362335,0.0006353557109832764
12,188.59027510881424,145.43179559707642,0.00013241171836853027,396.39799803495407,374.89811086654663,3.0100345611572266e-05,412.9330469965935,365.0007526874542,0.005706846714019775
13,400.76528549194336,365.93050241470337,0.008931994438171387,423.50375270843506,375.99288272857666,0.13144928216934204,394.7974531650543,347.64800345897675,0.9945952892303467
14,386.8181495666504,351.5494542121887,0.007708519697189331,408.88315629959106,361.59370613098145,0.9999300241470337,389.80505561828613,344.7506763935089,0.9999954700469971
15,410.2363430261612,347.3461012840271,0.017001748085021973,398.03197503089905,352.3907468318939,0.999999463558197,378.525187253952,330.4883085489273,0.9999997615814209
16,397.021365404129,342.3138735294342,0.026418715715408325,384.6931667327881,341.2715151309967,1.0,365.6261236667633,316.24761529266834,0.9999998807907104
17,382.1009633541107,328.5219016075134,0.0024262666702270508,375.9387958049774,332.4214408993721,0.9999999403953552,352.1825227737427,307.2395594716072,1.0
18,378.36362278461456,327.167382478714,0.00689360499382019,364.1793014407158,326.13883233070374,1.0,343.3517723083496,302.0406301021576,1.0
19,363.1254796385765,313.40424823760986,0.002714216709136963,352.81469917297363,321.9496681690216,1.0,333.3190506696701,296.70311546325684,1.0
20,351.480087518692,327.2873992919922,0.0016161203384399414,344.7067708969116,316.67462134361267,0.9999998807907104,321.4307599067688,292.2383363246918,1.0
21,345.33018708229065,312.6937131881714,0.004977017641067505,333.2595868110657,312.1390869617462,0.9999995231628418,310.5625190734863,289.01648902893066,1.0
22,333.1435910463333,310.99965357780457,0.0016711652278900146,323.973764738068,310.5232377052307,1.0,302.9414267539978,287.8155884742737,1.0
23,330.07044303417206,310.6494517326355,0.0026533901691436768,315.575435757637,309.4805361032486,1.0,293.5831187963486,288.26555919647217,1.0
24,317.0849972963333,309.03484749794006,0.0018661320209503174,310.05653262138367,306.44740784168243,1.0,288.26462960243225,288.55035161972046,1.0
25,314.8118454217911,308.5036578178406,0.0012049674987792969,302.04693484306335,305.1266963481903,0.9999998807907104,280.1672320365906,287.89305543899536,1.0
