scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
12,344.04581594467163,380.41237553954124,0.9090116620063782,172.13340757787228,366.04551672935486,0.6503852605819702,151.64278411865234,368.3092157840729,0.9908685684204102
13,344.91305589675903,381.8534172773361,0.993906557559967,174.1261293888092,368.8515019416809,0.448624849319458,150.93894982337952,370.7671604156494,0.9999878406524658
14,350.413587808609,387.15963220596313,0.8190501928329468,174.3691005706787,373.2946790456772,0.1695438027381897,149.83503103256226,372.37678503990173,0.9999568462371826
15,351.8460319042206,388.99053061008453,0.8002711534500122,179.3365375995636,374.2087495326996,0.05978238582611084,150.4728183746338,377.1353464126587,0.9997134804725647
16,351.43439245224,392.2393798828125,0.9590340852737427,181.58437132835388,377.76788687705994,0.5966095328330994,151.11883354187012,378.5358008146286,0.9999945163726807
17,350.71221899986267,397.2446073293686,0.5267718434333801,182.15428471565247,379.4158812761307,0.6613972187042236,152.20871829986572,379.79926301538944,0.9999939203262329
18,350.98928666114807,401.55571818351746,0.9069970846176147,182.2642002105713,379.7263502776623,0.6333844661712646,153.04135823249817,379.8019387573004,0.9999688863754272
19,351.1825876235962,402.9242720603943,0.6820932626724243,181.38897514343262,380.6215969324112,0.05424875020980835,151.83892512321472,379.99847803567536,0.999983549118042
20,350.79981422424316,402.801375746727,0.8039402365684509,181.90100872516632,378.54849433898926,0.6677886247634888,151.9407558441162,379.2716742157936,0.9999973177909851
21,351.46634697914124,402.6913949251175,0.5870801210403442,182.3653643131256,377.5902855396271,0.6445774435997009,151.80899786949158,378.1528333425522,0.9999926090240479
22,346.21310901641846,398.7212243080139,0.4532638192176819,181.0180994272232,375.1348023414612,0.4638722538948059,151.35095119476318,377.8895707130432,0.9999622106552124
23,346.6966862678528,398.738272190094,0.7644269466400146,180.8218046426773,374.62063908576965,0.5128673911094666,152.94241976737976,376.4030957221985,0.9999631643295288
24,349.4744951725006,401.3002095222473,0.5215045809745789,180.05559093132615,373.63442718982697,0.11946827173233032,152.73746609687805,375.20233821868896,0.999996542930603
25,349.6472156047821,400.68507528305054,0.07490858435630798,179.5336685180664,373.75077962875366,0.019268184900283813,152.43119430541992,375.3829507827759,0.9999828338623047
26,351.16034722328186,399.1397886276245,0.09597384929656982,179.48200643062592,373.3348684310913,0.131869375705719,152.77728843688965,374.47147130966187,0.9999815821647644
27,350.1122953891754,399.62023186683655,0.0362163782119751,172.68428820371628,374.60707116127014,0.04909968376159668,152.36425971984863,373.5152152776718,0.9999892711639404
