scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,492.30563831329346,330.8082581758499,0.0008415281772613525,520.2267143726349,342.7673408985138,0.22899392247200012,491.1012925505638,325.3518944978714,0.9746778607368469,517.3315609693527,331.1760823726654,0.9501115083694458
21,492.3728061616421,330.70112001895905,0.0008866190910339355,520.5555822849274,342.91770935058594,0.11652711033821106,491.8795748203993,325.10294687747955,0.9840149879455566,517.7120447158813,331.22155582904816,0.9639376401901245
22,492.3487358689308,330.32054913043976,0.0007759332656860352,519.9010949134827,342.3972821235657,0.1725684404373169,491.6862841248512,324.3476594090462,0.9895561933517456,517.6865923404694,330.891331076622,0.9614027738571167
23,492.6176671385765,330.4721966981888,0.0007911026477813721,519.4663124084473,342.25373673439026,0.143564373254776,492.2090463489294,324.67949479818344,0.9881394505500793,517.3074390888214,330.62572824954987,0.9645079374313354
24,380.237112775445,329.46215319633484,0.0014159083366394043,515.5735714435577,342.34322214126587,0.04776453971862793,494.0154745578766,323.2133241891861,0.994907557964325,518.2749423980713,330.45450806617737,0.9738345742225647
25,380.3102498650551,329.4120306968689,0.0015250742435455322,519.7325029373169,341.6600331068039,0.12269333004951477,493.1221457719803,322.7465180158615,0.9977530241012573,517.7396754026413,329.675124168396,0.8799421787261963
26,380.57559764385223,329.40229511260986,0.0021971464157104492,519.7594938278198,341.19568955898285,0.10950848460197449,492.5137518644333,322.6658524274826,0.9959660172462463,517.7326964139938,329.32228994369507,0.8307434320449829
27,381.2208151817322,329.49841046333313,0.001849055290222168,515.9458435103297,340.8448118567467,0.13567450642585754,493.32196485996246,322.1399636268616,0.9916333556175232,517.1931537389755,329.2152292728424,0.799098014831543
28,492.68807977437973,330.1819165945053,0.0011622309684753418,519.5547127723694,340.1971989274025,0.0723952054977417,492.5020362138748,320.93317914009094,0.9928695559501648,517.02647793293,328.35205340385437,0.8453956842422485
29,492.83021622896194,329.6627902984619,0.0009143948554992676,520.4773650169373,339.6025189459324,0.08651134371757507,491.8686866015196,319.44862508773804,0.9843716025352478,516.284608900547,325.02386593818665,0.5350310206413269
